Clusters
"['Argentina', 'Colombia', 'Germany', 'Spain', 'France', 'Iran', 'Italy', 'Mexico', 'Poland', 'Russia', 'Turkey', 'England', 'California', 'Florida', 'New York', 'Texas', 'United Kingdom', 'Brazil']"
['India']
['United States']
