Clusters
"['Afghanistan', 'Angola', 'Albania', 'Andorra', 'Australia', 'Azerbaijan', 'Burundi', 'Benin', 'Burkina Faso', 'Bulgaria', 'Bahrain', 'Bahamas', 'Bosnia and Herzegovina', 'Belarus', 'Belize', 'Bermuda', 'Bolivia', 'Barbados', 'Brunei', 'Bhutan', 'Botswana', 'Central African Republic', 'China', ""Cote d'Ivoire"", 'Cameroon', 'Democratic Republic of Congo', 'Congo', 'Comoros', 'Cape Verde', 'Costa Rica', 'Cuba', 'Cyprus', 'Djibouti', 'Dominica', 'Denmark', 'Dominican Republic', 'Algeria', 'Ecuador', 'Egypt', 'Eritrea', 'Estonia', 'Ethiopia', 'Finland', 'Fiji', 'Faeroe Islands', 'Gabon', 'Ghana', 'Guinea', 'Gambia', 'Greece', 'Greenland', 'Guatemala', 'Guam', 'Guyana', 'Hong Kong', 'Honduras', 'Croatia', 'Haiti', 'Ireland', 'Iceland', 'Jamaica', 'Kazakhstan', 'Kenya', 'Kyrgyz Republic', 'Cambodia', 'South Korea', 'Kuwait', 'Laos', 'Liberia', 'Libya', 'Sri Lanka', 'Lesotho', 'Lithuania', 'Luxembourg', 'Latvia', 'Macao', 'Monaco', 'Moldova', 'Madagascar', 'Mali', 'Myanmar', 'Mongolia', 'Mozambique', 'Mauritania', 'Mauritius', 'Malawi', 'Malaysia', 'Namibia', 'Niger', 'Nigeria', 'Nicaragua', 'Norway', 'Nepal', 'New Zealand', 'Oman', 'Panama', 'Papua New Guinea', 'Puerto Rico', 'Paraguay', 'Palestine', 'Qatar', 'Kosovo', 'Rwanda', 'Saudi Arabia', 'Sudan', 'Senegal', 'Singapore', 'Solomon Islands', 'Sierra Leone', 'El Salvador', 'San Marino', 'Somalia', 'South Sudan', 'Suriname', 'Slovak Republic', 'Slovenia', 'Eswatini', 'Seychelles', 'Syria', 'Chad', 'Togo', 'Thailand', 'Tajikistan', 'Timor-Leste', 'Trinidad and Tobago', 'Tunisia', 'Taiwan', 'Tanzania', 'Uganda', 'Uruguay', 'Uzbekistan', 'Venezuela', 'United States Virgin Islands', 'Vietnam', 'Vanuatu', 'Yemen', 'Zambia', 'Zimbabwe', 'Northern Ireland', 'Scotland', 'Wales', 'Alaska', 'Arkansas', 'Connecticut', 'Washington DC', 'Delaware', 'Georgia', 'Hawaii', 'Iowa', 'Idaho', 'Kansas', 'Louisiana', 'Maryland', 'Maine', 'Mississippi', 'Montana', 'North Dakota', 'Nebraska', 'New Hampshire', 'New Mexico', 'Nevada', 'Oregon', 'Rhode Island', 'South Dakota', 'Utah', 'Vermont', 'Washington', 'West Virginia', 'Wyoming']"
['India']
['United States']
"['Germany', 'Russia']"
['Brazil']
['Turkey']
"['Mexico', 'South Africa', 'Florida', 'New York', 'Texas']"
"['Canada', 'Chile', 'Czech Republic', 'Indonesia', 'Iraq', 'Netherlands', 'Peru', 'Philippines', 'Ukraine']"
['California']
"['United Arab Emirates', 'Austria', 'Belgium', 'Bangladesh', 'Switzerland', 'Hungary', 'Israel', 'Jordan', 'Japan', 'Lebanon', 'Morocco', 'Pakistan', 'Portugal', 'Romania', 'Serbia', 'Sweden', 'Alabama', 'Arizona', 'Colorado', 'Illinois', 'Indiana', 'Kentucky', 'Massachusetts', 'Michigan', 'Minnesota', 'Missouri', 'North Carolina', 'New Jersey', 'Ohio', 'Oklahoma', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Virginia', 'Wisconsin']"
['France']
"['Argentina', 'Colombia', 'Iran']"
['Spain']
"['England', 'United Kingdom']"
"['Italy', 'Poland']"
